id,x,y,sx,sy
moss_patch_01,92,103,1.2,1.2
moss_patch_01,69,27,1.2,1.2
moss_patch_01,84,75,1.2,1.2
moss_patch_01,81,138,1.2,1.2
moss_patch_01,80,87,1.2,1.2
moss_patch_01,194,242,1.2,1.2
moss_patch_01,82,115,1.2,1.2
moss_patch_01,103,105,1.2,1.2
moss_patch_01,76,34,1.2,1.2
moss_patch_01,47,89,1.2,1.2
moss_patch_01,58,71,1.2,1.2
moss_patch_01,88,54,1.2,1.2
moss_patch_01,40,87,1.2,1.2
moss_patch_01,246,120,1.2,1.2
moss_patch_01,76,66,1.2,1.2
moss_patch_01,98,155,1.2,1.2
moss_patch_01,74,47,1.2,1.2
moss_patch_01,93,145,1.2,1.2
moss_patch_01,109,142,1.2,1.2
moss_patch_01,169,9,1.2,1.2
moss_patch_01,64,67,1.2,1.2
moss_patch_01,109,114,1.2,1.2
moss_patch_01,104,149,1.2,1.2
moss_patch_01,104,145,1.2,1.2
moss_patch_01,70,60,1.2,1.2
moss_patch_01,169,250,1.2,1.2
moss_patch_01,73,51,1.2,1.2
moss_patch_01,224,133,1.2,1.2
moss_patch_01,239,145,1.2,1.2
moss_patch_01,208,6,1.2,1.2
moss_patch_01,73,72,1.2,1.2
moss_patch_01,204,15,1.2,1.2
moss_patch_01,54,99,1.2,1.2
moss_patch_01,227,111,1.2,1.2
moss_patch_01,202,245,1.2,1.2
moss_patch_01,74,82,1.2,1.2
moss_patch_01,81,132,1.2,1.2
moss_patch_01,70,78,1.2,1.2
moss_patch_01,66,58,1.2,1.2
moss_patch_01,82,39,1.2,1.2
moss_patch_01,182,242,1.2,1.2
moss_patch_01,45,76,1.2,1.2
moss_patch_01,174,3,1.2,1.2
moss_patch_01,242,112,1.2,1.2
moss_patch_01,62,57,1.2,1.2
moss_patch_01,112,147,1.2,1.2
moss_patch_01,202,253,1.2,1.2
moss_patch_01,40,82,1.2,1.2
moss_patch_01,79,104,1.2,1.2
moss_patch_01,65,71,1.2,1.2
moss_patch_01,81,98,1.2,1.2
moss_patch_01,175,245,1.2,1.2
moss_patch_01,79,91,1.2,1.2
moss_patch_01,99,146,1.2,1.2
moss_patch_01,248,128,1.2,1.2
moss_patch_01,250,134,1.2,1.2
moss_patch_01,229,137,1.2,1.2
moss_patch_01,195,14,1.2,1.2
moss_patch_01,111,128,1.2,1.2
moss_patch_01,84,35,1.2,1.2
moss_patch_01,116,135,1.2,1.2
moss_patch_01,109,152,1.2,1.2
moss_patch_01,70,105,1.2,1.2
moss_patch_01,97,104,1.2,1.2
moss_patch_01,206,0,1.2,1.2
moss_patch_01,234,143,1.2,1.2
moss_patch_01,84,106,1.2,1.2
moss_patch_01,186,19,1.2,1.2
moss_patch_01,114,118,1.2,1.2
moss_patch_01,90,70,1.2,1.2
moss_patch_01,58,56,1.2,1.2
moss_patch_01,47,98,1.2,1.2
moss_patch_01,94,58,1.2,1.2
moss_patch_01,107,119,1.2,1.2
moss_patch_01,227,122,1.2,1.2
moss_patch_01,96,151,1.2,1.2
moss_patch_01,88,147,1.2,1.2
moss_patch_01,120,132,1.2,1.2
moss_patch_01,175,7,1.2,1.2
moss_patch_01,229,115,1.2,1.2
moss_patch_01,52,94,1.2,1.2
moss_patch_01,204,8,1.2,1.2
moss_patch_01,62,34,1.2,1.2
moss_patch_01,198,243,1.2,1.2
moss_patch_01,52,107,1.2,1.2
moss_patch_01,251,140,1.2,1.2
moss_patch_01,207,243,1.2,1.2
moss_patch_01,83,124,1.2,1.2
moss_patch_01,106,109,1.2,1.2
moss_patch_01,222,138,1.2,1.2
moss_patch_01,180,13,1.2,1.2
moss_patch_01,57,34,1.2,1.2
moss_patch_01,79,46,1.2,1.2
moss_patch_01,206,251,1.2,1.2
moss_patch_01,56,103,1.2,1.2
moss_patch_01,241,117,1.2,1.2
moss_patch_01,233,113,1.2,1.2
moss_patch_01,108,138,1.2,1.2
moss_patch_01,70,33,1.2,1.2
moss_patch_01,116,126,1.2,1.2
moss_patch_01,120,126,1.2,1.2
moss_patch_01,198,238,1.2,1.2
moss_patch_01,227,126,1.2,1.2
moss_patch_01,60,108,1.2,1.2
moss_patch_01,60,39,1.2,1.2
moss_patch_01,237,115,1.2,1.2
moss_patch_01,102,114,1.2,1.2
moss_patch_01,74,102,1.2,1.2
moss_patch_01,75,106,1.2,1.2
moss_patch_01,192,246,1.2,1.2
moss_patch_01,185,245,1.2,1.2
moss_patch_01,87,116,1.2,1.2
moss_patch_01,85,139,1.2,1.2
moss_patch_01,53,67,1.2,1.2
moss_patch_01,69,83,1.2,1.2
moss_patch_01,64,28,1.2,1.2
moss_patch_01,74,57,1.2,1.2
moss_patch_01,245,140,1.2,1.2
moss_patch_01,58,75,1.2,1.2
moss_patch_01,112,111,1.2,1.2
moss_patch_01,65,110,1.2,1.2
moss_patch_01,173,253,1.2,1.2
moss_patch_01,70,66,1.2,1.2
moss_patch_01,203,3,1.2,1.2
